category,source,target,note
事件,crimen contra Álvaro Obregón,奥夫雷贡遇刺案,1928年
事件,movimiento estudiantil de 1968,1968年学生运动,特拉特洛尔科广场 massacre
事件,nacionalización de la banca,银行国有化,1982年9月
人物,Adolfo de la Huerta,阿道弗·德·拉韦尔塔,奥夫雷贡的政敌1923年反叛
人物,Adolfo López Mateos,阿道弗·洛佩斯·马特奥斯,1958-1964总统
人物,Adolfo Ruiz Cortines,阿道弗·鲁伊斯·科尔蒂内斯,1952-1958总统
人物,Alan Knight,艾伦·奈特,墨西哥历史学者
人物,Álvaro Obregón,阿尔瓦罗·奥夫雷贡,革命将领1920-1924总统
人物,Arnulfo R. Gómez,阿努尔福·R·戈麦斯,因反对连任被处决
人物,Carlos A. Madrazo,卡洛斯·A·马德拉佐,20世纪60年代PRI改革者 曾任党主席
人物,Carlos Salinas de Gortari,卡洛斯·萨利纳斯·德戈塔里,墨西哥总统1988-1994
人物,Cuauhtémoc,夸乌特莫克,阿兹特克末代皇帝
人物,Emiliano Zapata,埃米利亚诺·萨帕塔,农民领袖
人物,Francisco I. Madero,弗朗西斯科·I·马德罗,民主先驱
人物,Francisco R. Serrano,弗朗西斯科·R·塞拉诺,同被处决
人物,Francisco Villa,弗朗西斯科·比利亚,北方革命领袖
人物,Francisco Zapata,弗朗西斯科·萨帕塔,
人物,Gustavo Díaz Ordaz,古斯塔沃·迪亚斯·奥尔达斯,1964-1970总统
人物,Hernán Cortés,埃尔南·科尔特斯,西班牙征服者
人物,Javier Garciadiego,哈维尔·加西亚迭戈,墨西哥历史学者
人物,José López Portillo,何塞·洛佩斯·波蒂略,1976-1982总统
人物,José Luis Reyna,何塞·路易斯·雷纳,
人物,Lázaro Cárdenas,拉萨罗·卡德纳斯,1934-1940总统
人物,Leonardo Lomelí Vanegas,莱昂纳多·洛梅利·瓦内加斯,本书作者
人物,Lucio Blanco,卢西奥·布兰科,早期革命将领
人物,Luis Donaldo Colosio,路易斯·多纳尔多·科洛西奥,PRI总统候选人1994年遇刺
人物,Luis Echeverría,路易斯·埃切维里亚,1970-1976总统
人物,Manuel Ávila Camacho,曼努埃尔·阿维拉·卡马乔,1940-1946总统
人物,Miguel Alemán Valdés,米格尔·阿莱曼·巴尔德斯,1946-1952总统
人物,Miguel de la Madrid,米格尔·德拉马德里·乌尔塔多,1982-1988总统
人物,Miguel de la Madrid Hurtado,米格尔·德拉马德里,1982-1988总统
人物,Miguel González Compeán,米格尔·冈萨雷斯·孔佩安,本书作者
